CAMPAIGN_NAME,IPADDRESS,CAMPAIGN_ID,TIMESTAMP,TOUCH_GROUPS,TOUCHS_IP,CONV_VAL,OUTCOME_VAL,OUTCOME,IP_FREQ,CLUSTER
Heist,104.28.48.213,v6sbjb7,01/02/2023 08:23,893,3330,0.268168168,0.0003003,1,3330,4
Heist,172.226.41.42,tm47uvl,01/02/2023 08:33,0,0,0,0,0,15,6
Heist,172.225.12.206,tm47uvl,01/02/2023 08:46,5,22,0.227272727,0.045454545,1,22,6
Heist,104.28.111.177,v6sbjb7,01/02/2023 08:23,347,1805,0.192243767,0.000554017,1,1805,6
Heist,104.28.79.165,tm47uvl,01/02/2023 09:22,333,1261,0.26407613,0.000793021,1,1261,9
Heist,104.28.39.129,v6sbjb7,01/02/2023 09:13,2835,16187,0.175140545,6.18E-05,1,16187,1
Heist,172.225.132.69,v6sbjb7,01/02/2023 08:50,186,2104,0.088403042,0.000475285,1,2104,1
Heist,146.75.222.0,zvcpd1t,01/02/2023 09:21,189,2189,0.086340795,0.00045683,1,2189,5
Heist,104.28.39.135,v6sbjb7,01/02/2023 08:17,741,2986,0.248158071,0.000334896,1,2986,1
Heist,172.226.6.13,cd5xb42,01/02/2023 09:43,28,1866,0.015005359,0.000535906,1,1866,6
Heist,104.28.116.190,v6sbjb7,01/02/2023 09:47,271,2845,0.095254833,0.000351494,1,2845,1
Heist,104.28.116.190,v6sbjb7,01/02/2023 08:17,271,2845,0.095254833,0.000351494,1,2845,1
Heist,209.106.168.1,tm47uvl,01/02/2023 08:44,14,265,0.052830189,0.003773585,1,265,1
Heist,146.75.154.1,z8p7tby,01/02/2023 08:14,197,3994,0.049323986,0.000250376,1,3994,2
Heist,172.225.30.127,z8p7tby,01/02/2023 08:10,10,78,0.128205128,0.012820513,1,78,1
Heist,104.28.111.171,v6sbjb7,01/02/2023 09:33,699,9714,0.071957999,0.000102944,1,9714,3
Heist,104.28.116.101,tm47uvl,01/02/2023 08:20,860,2575,0.333980583,0.00038835,1,2575,2
Heist,104.28.132.117,zvcpd1t,01/02/2023 08:33,98,1420,0.069014085,0.000704225,1,1420,9
Heist,172.226.6.28,93vwe57,01/02/2023 09:26,16,521,0.030710173,0.001919386,1,521,5
Heist,104.28.97.24,v6sbjb7,01/02/2023 09:37,3011,25549,0.117851971,3.91E-05,1,25549,6
Heist,104.28.79.144,93vwe57,01/02/2023 09:41,94,3326,0.028262177,0.000300661,1,3326,3
Heist,104.28.103.23,zvcpd1t,01/02/2023 08:32,372,6904,0.053881808,0.000144844,1,6904,1
Heist,107.77.213.198,fb0dolj,01/02/2023 09:41,0,0,0,0,0,6,1
Heist,172.224.237.34,93vwe57,01/02/2023 10:10,2,215,0.009302326,0.004651163,1,215,1
Heist,104.28.97.31,tm47uvl,01/02/2023 09:24,2776,36229,0.076623699,2.76E-05,1,36229,1
Heist,104.28.48.192,tm47uvl,01/02/2023 09:47,91,276,0.329710145,0.003623188,1,276,1
Heist,104.28.116.100,zvcpd1t,01/02/2023 08:56,265,6419,0.041283689,0.000155788,1,6419,1
Heist,104.28.110.84,tm47uvl,01/02/2023 08:23,2317,6960,0.332902299,0.000143678,1,6960,11
Heist,104.28.123.110,v6sbjb7,01/02/2023 08:16,224,780,0.287179487,0.001282051,1,780,1
Heist,104.28.110.82,v6sbjb7,01/02/2023 09:23,2476,6954,0.35605407,0.000143802,1,6954,1
Heist,104.28.116.99,v6sbjb7,01/02/2023 09:31,1022,8755,0.116733295,0.00011422,1,8755,1
Heist,104.28.97.21,v6sbjb7,01/02/2023 09:45,2858,24079,0.118692637,4.15E-05,1,24079,1
Heist,104.28.48.179,z8p7tby,01/02/2023 09:22,5,291,0.017182131,0.003436426,1,291,9
Heist,104.28.123.93,tm47uvl,01/02/2023 09:22,378,1297,0.291441789,0.00077101,1,1297,3
Heist,71.67.197.154,93vwe57,01/02/2023 09:38,0,0,0,0,0,5,9
Heist,104.28.110.82,v6sbjb7,01/02/2023 10:05,2476,6954,0.35605407,0.000143802,1,6954,1
Heist,104.28.32.102,z8p7tby,01/02/2023 09:50,288,20107,0.01432337,4.97E-05,1,20107,5
Heist,104.28.110.92,v6sbjb7,01/02/2023 10:12,71,153,0.464052288,0.006535948,1,153,1
Heist,104.28.110.86,tm47uvl,01/02/2023 10:11,2633,8056,0.32683714,0.000124131,1,8056,3
Heist,172.226.3.1,zvcpd1t,01/02/2023 09:11,13,111,0.117117117,0.009009009,1,111,5
Heist,172.58.180.62,yc0zo5r,01/02/2023 09:25,1,2,0.5,0.5,1,2,1
Heist,104.28.97.22,tm47uvl,01/02/2023 08:20,2122,19588,0.108331632,5.11E-05,1,19588,9
Heist,104.28.39.165,tm47uvl,01/02/2023 08:16,945,4257,0.221987315,0.000234907,1,4257,1
Heist,104.28.79.180,tm47uvl,01/02/2023 10:09,252,1116,0.225806452,0.000896057,1,1116,1
Heist,104.28.57.229,tm47uvl,01/02/2023 08:53,990,3173,0.312007564,0.000315159,1,3173,3
Heist,104.28.39.155,tm47uvl,01/02/2023 08:15,702,2582,0.271882262,0.000387297,1,2582,1
Heist,172.226.171.141,v6sbjb7,01/02/2023 08:35,3,11,0.272727273,0.090909091,1,11,1
Heist,172.225.216.115,v6sbjb7,01/02/2023 09:26,303,2681,0.113017531,0.000372995,1,2681,2
Heist,107.127.14.90,v6sbjb7,01/02/2023 08:18,0,0,0,0,0,10,4
Heist,172.226.184.29,v6sbjb7,01/02/2023 09:25,308,811,0.379778052,0.001233046,1,811,1
Heist,172.226.20.0,tm47uvl,01/02/2023 08:13,5,42,0.119047619,0.023809524,1,42,1
Heist,104.28.116.84,tm47uvl,01/02/2023 09:31,1320,4362,0.30261348,0.000229253,1,4362,3
Heist,104.28.85.163,v6sbjb7,01/02/2023 10:05,330,3468,0.095155709,0.000288351,1,3468,1
Heist,172.225.15.19,v6sbjb7,01/02/2023 09:11,60,537,0.111731844,0.001862197,1,537,3
Heist,104.28.110.90,93vwe57,01/02/2023 09:11,524,8463,0.061916578,0.000118161,1,8463,1
Heist,104.28.104.16,v6sbjb7,01/02/2023 09:12,523,2494,0.209703288,0.000400962,1,2494,2
Heist,146.75.248.1,v6sbjb7,01/02/2023 10:13,2538,7720,0.328756477,0.000129534,1,7720,1
Heist,172.225.88.149,zvcpd1t,01/02/2023 08:41,31,245,0.126530612,0.004081633,1,245,3
Heist,107.77.200.90,93vwe57,01/02/2023 10:06,0,0,0,0,0,63,2
